Disease,Week 18,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,0,18,30,17
Acute Encephalitis/Meningitis Viral,0,1,2,2
Anthrax,0,0,0,0
Chickenpox,54,473,319,630
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,1,10,9,5
Food Poisoning,53,514,504,594
Gastroenteritis (< 2years),2,13,91,110
Hepatitis A,0,3,3,4
Hepatitis B,0,24,25,15
Hepatitis Unspecified,2,6,0,0
Legionnaires' Disease,0,2,2,0
Leptospirosis,0,0,1,0
Malaria,0,0,0,1
Measles,0,4,9,8
Meningococcal Septicaemia,0,4,7,7
Mumps,1,61,212,235
Paratyphoid Fever,0,0,1,1
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,1,0
Scarlet Fever,24,321,179,239
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),2,23,19,19
Tuberculosis (Non Pulmonary),1,4,14,12
Typhoid,0,0,1,0
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,2,11,27,29
Yellow Fever,0,0,0,0
Total,142,1492,1456,1928
