Disease,Week 21,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,1,21,34,22
Acute Encephalitis/Meningitis Viral,0,1,2,3
Anthrax,0,0,0,0
Chickenpox,40,597,399,837
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,4,14,9,5
Food Poisoning,54,673,661,751
Gastroenteritis (< 2years),1,17,114,127
Hepatitis A,1,4,3,4
Hepatitis B,4,26,32,19
Hepatitis Unspecified,1,9,0,0
Legionnaires' Disease,0,2,2,0
Leptospirosis,0,0,1,0
Malaria,0,0,2,1
Measles,0,6,9,8
Meningococcal Septicaemia,0,4,8,8
Mumps,5,69,238,255
Paratyphoid Fever,0,0,1,1
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,1,0
Scarlet Fever,21,373,212,269
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),1,25,23,22
Tuberculosis (Non Pulmonary),0,4,15,13
Typhoid,0,0,1,1
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,2,15,30,34
Yellow Fever,0,0,0,0
Total,135,1860,1797,2380
