Disease,Week 26,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,0,25,36,30
Acute Encephalitis/Meningitis Viral,0,1,4,3
Anthrax,0,0,0,0
Chickenpox,26,751,527,1025
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,1,17,14,9
Food Poisoning,71,942,916,996
Gastroenteritis (< 2years),1,20,139,164
Hepatitis A,1,6,3,8
Hepatitis B,1,33,38,30
Hepatitis Unspecified,2,11,0,2
Legionnaires' Disease,0,3,3,0
Leptospirosis,0,0,1,0
Malaria,1,0,3,1
Measles,0,6,12,11 
Meningococcal Septicaemia,0,5,8,9
Mumps,0,77,268,274
Paratyphoid Fever,0,0,1,1
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,3,0
Scarlet Fever,2,401,240,312
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),0,29,28,26
Tuberculosis (Non Pulmonary),0,7,17,19
Typhoid,0,1,1,1
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,0,21,42,55
Yellow Fever,0,0,0,0
Total,106,2356,2304,2976
