Disease,Week 25,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,0,23,36,29
Acute Encephalitis/Meningitis Viral,0,1,4,3
Anthrax,0,0,0,0
Chickenpox,22,725,505,978
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,0,16,12,8
Food Poisoning,57,895,861,968
Gastroenteritis (< 2years),1,19,134,158
Hepatitis A,0,5,3,6
Hepatitis B,4,32,36,28
Hepatitis Unspecified,1,10,0,0
Legionnaires' Disease,0,2,3,0
Leptospirosis,0,0,1,0
Malaria,0,0,3,1
Measles,0,6,10,9 
Meningococcal Septicaemia,0,5,8,9
Mumps,3,77,263,273
Paratyphoid Fever,0,0,1,1
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,3,0
Scarlet Fever,7,399,233,300
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),3,29,27,24
Tuberculosis (Non Pulmonary),2,7,17,17
Typhoid,0,1,1,1
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,1,21,42,48
Yellow Fever,0,0,0,0
Total,101,2273,2203,2861
