Disease,Week 24,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,1,23,36,29
Acute Encephalitis/Meningitis Viral,0,1,4,3
Anthrax,0,0,0,0
Chickenpox,28,703,473,934
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,1,16,11,8
Food Poisoning,62,841,808,901
Gastroenteritis (< 2years),0,18,129,143
Hepatitis A,1,5,3,4
Hepatitis B,2,28,36,25
Hepatitis Unspecified,0,9,0,0
Legionnaires' Disease,0,2,3,0
Leptospirosis,0,0,1,0
Malaria,0,0,2,1
Measles,0,6,9,9 
Meningococcal Septicaemia,0,5,8,9
Mumps,1,74,256,271
Paratyphoid Fever,0,0,1,1
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,3,0
Scarlet Fever,9,392,224,287
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),0,26,27,23
Tuberculosis (Non Pulmonary),0,5,16,16
Typhoid,0,1,1,1
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,2,20,41,46
Yellow Fever,0,0,0,0
Total,107,2175,2092,2711
