Disease,Week 10,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,0,11,15,13
Acute Encephalitis/Meningitis Viral,0,0,2,1
Anthrax,0,0,0,0
Chickenpox,29,167,165,276
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,1,7,4,4
Food Poisoning,28,227,229,301
Gastroenteritis (< 2years),1,7,16,68
Hepatitis A,0,1,0,2
Hepatitis B,0,12,11,9
Hepatitis Unspecified,0,0,0,0
Legionnaires' Disease,0,2,0,0
Leptospirosis,0,0,0,0
Malaria,0,0,0,1
Measles,0,4,2,7
Meningococcal Septicaemia,0,2,2,4
Mumps,2,44,100,143
Paratyphoid Fever,0,0,0,0
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,1,0
Scarlet Fever,16,160,91,93
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),0,12,11,11
Tuberculosis (Non Pulmonary),0,1,8,6
Typhoid,0,0,1,0
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,0,7,10,21
Yellow Fever,0,0,0,0
Total,77,664,668,960
