Disease,Week 16 ,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,1,17,26,15
Acute Encephalitis/Meningitis Viral,0,1,2,2
Anthrax,0,0,0,0
Chickenpox,54,376,277,514
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,0,9,8,4
Food Poisoning,49,411,429,498
Gastroenteritis (< 2years),1,11,82,102
Hepatitis A,0,3,2,2
Hepatitis B,1,22,22,13
Hepatitis Unspecified,2,4,0,0
Legionnaires' Disease,0,2,2,0
Leptospirosis,0,0,0,0
Malaria,0,0,0,1
Measles,0,4,7,8
Meningococcal Septicaemia,0,4,7,6
Mumps,1,60,188,210
Paratyphoid Fever,1,0,1,0
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,1,0
Scarlet Fever,27,282,161,218
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),1,20,18,14
Tuberculosis (Non Pulmonary),1,3,13,12
Typhoid,0,0,1,0
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,0,9,23,28
Yellow Fever,0,0,0,0
Total,139,1238,1270,1647
