Disease,Week 23,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,1,22,35,25
Acute Encephalitis/Meningitis Viral,0,1,4,3
Anthrax,0,0,0,0
Chickenpox,51,675,449,922
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,1,15,10,5
Food Poisoning,78,786,755,827
Gastroenteritis (< 2years),1,18,125,141
Hepatitis A,0,4,3,4
Hepatitis B,2,26,35,24
Hepatitis Unspecified,0,9,0,0
Legionnaires' Disease,0,2,3,0
Leptospirosis,0,0,1,0
Malaria,0,0,2,1
Measles,0,6,9,9
Meningococcal Septicaemia,1,5,8,9
Mumps,2,73,253,265
Paratyphoid Fever,0,0,1,1
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,3,0
Scarlet Fever,7,383,220,281
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),0,26,25,23
Tuberculosis (Non Pulmonary),0,5,16,15
Typhoid,1,1,1,1
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,0,18,37,41
Yellow Fever,0,0,0,0
Total,145,2075,1995,2597
