x1,x2,x3,x4,y
1991.496154,1628.75,1678.1,1772.8,2443.6
1991.503846,1606.51,1678.6,1718,2448.2
1991.511538,1618.16,1686.6,1723.1,2484.7
1991.519231,1630.75,1682.9,1734.5,2487.9
1991.526923,1635.47,1697.5,1754,2510.5
1991.534615,1647.84,1723.8,1759.8,2532.5
1991.542308,1629.93,1727.4,1758.1,2561
1991.55,1624.74,1734,1763.5,2541.5
1991.557692,1631.99,1737.1,1768.9,2587.9
1991.565385,1613.42,1723.6,1780.1,2579.6
1991.573077,1605.75,1721.2,1757.9,2595
1991.580769,1619.29,1727.2,1754.7,2588.8
1991.588462,1619.67,1731.6,1766.5,2601.7
1991.596154,1613.98,1716.9,1759.5,2573.3
1991.603846,1630.37,1723,1789.5,2600.6
1991.611538,1626.55,1722.1,1780.4,2569.4
1991.619231,1650.06,1733.6,1820.3,2608.8
1991.626923,1653.6,1726.2,1820.3,2621
1991.634615,1524.28,1630.6,1725.6,2554.5
1991.642308,1622.49,1701.3,1819.1,2623
1991.65,1652.1,1726.2,1853.4,2640.7
1991.657692,1650.36,1725.8,1851.8,2624.2
1991.665385,1649.88,1736.6,1864.3,2645.7
1991.673077,1657.51,1731.2,1873.2,2669
1991.680769,1649.09,1727.8,1868.7,2663.3
1991.688462,1638.65,1715.4,1855.9,2653.2
1991.696154,1628.64,1713,1842.6,2626.6
1991.703846,1633.65,1718,1876.2,2625.8
1991.711538,1635.8,1701.7,1878.4,2594.4
1991.719231,1624.7,1687.2,1880.4,2588.7
1991.726923,1618.12,1684.3,1888.4,2579.5
1991.734615,1625.79,1672.9,1877.9,2597.8
1991.742308,1612.8,1669.3,1883.8,2599
1991.75,1609.32,1672.3,1887.4,2645.6
1991.757692,1607.48,1686.8,1867.1,2625.6
1991.765385,1589.12,1675.8,1843.6,2596.2
1991.773077,1567.99,1673.2,1843.4,2584.1
1991.780769,1569.71,1671.3,1833.8,2555
1991.788462,1585.41,1676.2,1856.9,2576.7
1991.796154,1561.89,1696.5,1855.5,2588.7
1991.803846,1570.34,1713.3,1846,2575.7
1991.811538,1590.29,1711.3,1830.4,2561.1
1991.819231,1572.07,1688.6,1834.8,2514.7
1991.826923,1588.73,1700,1849.8,2553.3
1991.834615,1579.77,1683.9,1856.7,2566
1991.842308,1568.09,1673.9,1841.5,2527.8
1991.85,1573.94,1688.4,1836.1,2534.2
1991.857692,1610.18,1720.9,1857.6,2559
1991.865385,1623.84,1733.6,1858.4,2575.5
1991.873077,1627.08,1735.6,1868.5,2561.6
1991.880769,1605.7,1699.3,1808.3,2502.9
1991.888462,1589.7,1675.5,1763.5,2472.6
1991.896154,1599.75,1652.2,1741.3,2446.3
1991.903846,1603.5,1654.9,1769,2471.5
1991.911538,1587.92,1638.7,1754.9,2428.6
1991.919231,1549.81,1596.1,1708.8,2414.9
1991.926923,1554.65,1625,1713.9,2423.8
1991.934615,1555.31,1606.6,1685.7,2388.7
1991.942308,1548.44,1603.1,1636.9,2392
1991.95,1550.21,1605.2,1671.6,2423.3
1991.957692,1551.78,1622.5,1696.8,2440.8
1991.965385,1570.28,1627.4,1706.2,2413.6
1991.973077,1545.87,1602.3,1648.5,2358.1
1991.980769,1542.77,1627,1699.1,2384.4
1991.988462,1542.77,1627,1722.5,2384.4
1991.996154,1577.26,1670.1,1741.9,2420
1992.003846,1577.26,1670.1,1765.7,2493.1
1992.011538,1604.05,1704,1770.3,2504.1
1992.019231,1593.65,1700.5,1778.7,2482.9
1992.026923,1599.14,1715.4,1833.9,2497.9
1992.034615,1620.45,1719.4,1824.3,2490.1
1992.042308,1663.7,1772.8,1873.6,2537.1
1992.05,1669.29,1747.2,1860.2,2536.7
1992.057692,1687.07,1755.3,1867.9,2543.4
1992.065385,1671.84,1751.2,1838.7,2525.3
1992.073077,1686.71,1769.4,1869.3,2539.9
1992.080769,1671.01,1750,1879.6,2546.5
1992.088462,1685.7,1753.5,1875.3,2571.2
1992.096154,1678.77,1752.9,1856.5,2556.8
1992.103846,1683.71,1776.8,1860.6,2534.3
1992.111538,1683.73,1785.1,1865.6,2538.4
1992.119231,1685.03,1794.1,1861.6,2523.7
1992.126923,1676.17,1780.4,1865.1,2513.9
1992.134615,1696.55,1794.2,1912.2,2555.9
1992.142308,1711.35,1800.1,1951.2,2543.4
1992.15,1729.86,1816.2,1976.5,2559.7
1992.157692,1743.36,1821.9,1981.3,2565
1992.165385,1746.76,1840.6,1983.4,2562.1
1992.173077,1763.86,1846.3,1983.8,2565.4
1992.180769,1762.29,1839,1973,2538.3
1992.188462,1753.5,1815.2,1976.3,2550.7
1992.196154,1739.88,1807.1,1968,2522.4
1992.203846,1734.42,1806.2,1947.1,2476
1992.211538,1732.92,1818.2,1943.6,2491.2
1992.219231,1725.74,1833.3,1922,2467.6
1992.226923,1714.17,1818.2,1884.6,2441
1992.234615,1719.06,1830.1,1928.3,2464.9
1992.242308,1698.84,1828.7,1923.5,2447.9
1992.25,1718.35,1837.2,1942.4,2440.1
1992.257692,1723.37,1838,1942,2405.4
1992.265385,1738.78,1843.1,1974.8,2400.9
1992.273077,1714.77,1827.1,1907.5,2393.2
1992.280769,1733.77,1848,1974.1,2572.6
1992.288462,1734.46,1853.8,1972.3,2600.5
1992.296154,1746.88,1871.3,1978.2,2638.6
1992.303846,1746.88,1871.3,1978.2,2638.6
1992.311538,1753.1,1874.7,1983.7,2607.8
1992.319231,1745.72,1874.7,1984.9,2643
1992.326923,1731.68,1859.5,2006.6,2651
1992.334615,1728.09,1880.1,2031.1,2654.1
1992.342308,1731.29,1907.7,2041.6,2659.8
1992.35,1745.78,1937.3,2047.2,2698.7
1992.357692,1748.13,1949.1,2063.4,2725.7
1992.365385,1747.91,1950.8,2063.6,2722.4
1992.373077,1735.34,1945,2017,2694.7
1992.380769,1763.59,1939.1,2051.6,2703.6
1992.388462,1785.4,1933.4,2030.8,2711.9
1992.396154,1804.42,1931.7,2045.1,2715
1992.403846,1799.51,1924.5,2029.6,2704.6
1992.411538,1792.8,1914.2,2014.1,2694.2
1992.419231,1798.23,1923.3,2017.4,2697.6
1992.426923,1786.19,1915.2,1992.6,2680.9
1992.434615,1789.05,1913.8,1981.6,2668.5
1992.442308,1784.71,1899.7,1962.2,2635.4
1992.45,1779.74,1868.8,1928.8,2614.1
1992.457692,1773.25,1865.7,1918.1,2593.6
1992.465385,1773.75,1873.1,1908.8,2598.4
1992.473077,1776.34,1869.3,1913.9,2584.8
1992.480769,1772.39,1847.1,1895.8,2560.6
1992.488462,1764.35,1845.8,1920.3,2557.3
1992.496154,1755.98,1846.6,1907.3,2515.8
1992.503846,1759.9,1845.3,1880.9,2493.9
1992.511538,1776.5,1870.5,1883.6,2497.1
1992.519231,1766.98,1856.6,1879.1,2493.7
1992.526923,1760.17,1846.7,1861.8,2497.9
1992.534615,1731.44,1841.8,1859.4,2478.3
1992.542308,1733.84,1844.4,1853.3,2486.4
1992.55,1699.46,1805.6,1801.8,2431.9
1992.557692,1654.09,1786.1,1762.7,2415.6
1992.565385,1622.81,1762.8,1734.6,2399.5
1992.573077,1617.78,1761.9,1755.4,2348
1992.580769,1637.62,1812.7,1801.6,2423.2
1992.588462,1608.49,1798.1,1754.7,2399.6
1992.596154,1609.61,1805.4,1787.6,2407.5
1992.603846,1618.07,1819.6,1793.8,2377.6
1992.611538,1578.95,1799.9,1755.2,2325.7
